 ,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3401628363,1.0,5,4,-37.796756099999996,144.932701,-37.8069141,144.99846599999998,6379,26/7/18,0:32:29,1649.76,0:59:58,21.0
ID1894608302,0.0,6,9,-37.7874325,144.9803767,-38.1109156,144.65417250000002,47033,3/1/18,17:53:48,11350.5,21:02:58,20.86
ID3480881927,1.0,7,4,-37.8618349,144.90571599999998,-37.807382399999995,145.0077081,11991,2/3/18,20:37:10,3782.76,21:40:12,25.83
ID3606669598,1.0,4,2,-37.8125337,145.0130815,-37.823676299999995,144.9377404,7504,4/6/18,12:02:04,1967.1,12:34:51,18.82
ID1404302003,0.0,8,6,-37.8158343,145.04645,-37.773845,144.9836895,10698,20/1/18,3:53:22,2735.16,4:38:57,18.89
ID3459920918,1.0,1,4,-37.811866200000004,144.9664971,-37.814929799999994,144.9998555,3524,16/1/18,2:01:33,848.28,2:15:41,16.96
ID3669697658,1.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797,16/1/18,3:28:59,13204.98,7:09:03,76.69
ID3727460916,1.0,4,7,-37.8111528,144.9975025,-37.8618349,144.90571599999998,10748,8/5/18,13:16:02,3521.4,14:14:43,24.51
ID3339706879,1.0,2,4,-37.8239154,144.9299158,-37.81497529999999,145.0045748,7376,22/1/18,19:25:48,1956.0,19:58:24,14.76
ID1838934084,0.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032,28/2/18,14:51:07,12681.06,18:22:28,20.29
ID3490535627,1.0,6,3,-37.7907967,144.985865,-37.8244373,144.98305009999999,4214,10/6/18,5:11:29,1178.82,5:31:07,21.81
ID3496540831,1.0,5,4,-37.8029953,144.92810690000002,-37.8047683,144.9981308,6769,25/5/18,6:39:40,1750.68,7:08:50,13.58
ID1556862452,0.0,9,5,-38.1109156,144.65417250000002,-37.805876700000006,144.92955780000003,44005,28/7/18,16:23:31,10531.62,19:19:02,24.9
ID5928263420,2.0,1,8,-37.8027313,144.9637292,-37.8158343,145.04645,7760,8/7/18,3:38:00,2258.34,4:15:38,221.07
ID1283571613,0.0,7,8,-37.8618349,144.90571599999998,-37.807202000000004,145.0266373,13986,25/4/18,18:40:16,4292.4,19:51:48,10.94
ID1257834345,0.0,3,4,-37.8214608,144.97797130000004,-37.802419,144.99178,3174,26/6/18,15:13:25,793.5,15:26:38,8.7
ID3499744175,1.0,3,6,-37.8184546,144.9904617,-37.7738026,144.98364660000001,9383,24/4/18,1:36:13,2850.9,2:23:43,24.56
ID3260560962,1.0,8,3,-37.807202000000004,145.0266373,-37.8203097,144.9809336,5899,26/1/18,4:48:46,1495.74,5:13:41,19.62
ID5502856454,2.0,8,2,-37.8158343,145.04645,-37.813616100000004,144.9371999,9975,7/4/18,7:37:05,2813.76,8:23:58,245.37
ID3676815851,1.0,7,2,-37.8618349,144.90571599999998,-37.813376,144.944541,9661,6/6/18,5:46:50,3205.08,6:40:15,26.68
ID3656720202,1.0,4,5,-37.8111801,145.0070987,-37.8044173,144.93469109999998,6575,16/7/18,13:22:18,1663.2,13:50:01,14.86
ID1460130319,0.0,6,4,-37.7907967,144.985865,-37.79916,144.98987639999999,1527,10/2/18,20:56:55,462.72,21:04:37,14.62
ID3232789237,1.0,5,2,-37.7995589,144.92652919999998,-37.8259745,144.95259919999998,4536,15/5/18,14:30:52,1202.64,14:50:54,12.91
ID1993546157,0.0,8,2,-37.8158343,145.04645,-37.8141162,144.939014,10237,13/7/18,12:15:39,2874.24,13:03:33,12.21
ID5469630450,2.0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151,13/1/18,16:43:51,4911.6,18:05:42,425.97
ID1933678837,0.0,5,3,-37.8061908,144.9329846,-37.8245088,144.9829143,5675,27/4/18,4:27:29,1422.12,4:51:11,12.26
ID3455580670,1.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797,1/4/18,12:31:55,13204.98,16:11:59,75.49
ID3540471508,1.0,1,8,-37.8123703,144.9617401,-37.8158343,145.04645,7704,24/3/18,9:29:35,2223.9,10:06:38,20.12
ID1252144716,0.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797,28/3/18,13:20:36,13204.98,17:00:40,21.48
ID1964976955,0.0,3,6,-37.8132542,144.973865,-37.7874325,144.9803767,3011,10/5/18,6:47:49,741.12,7:00:10,3.15
ID1152992702,0.0,3,6,-37.8245184,144.9829143,-37.773845,144.9836895,6531,19/5/18,0:07:32,1446.78,0:31:38,18.76
ID1762334781,0.0,5,6,-37.806861100000006,144.9375695,-37.773845,144.9836895,7537,2/6/18,4:28:27,1608.9,4:55:15,17.72
ID3870407980,1.0,3,5,-37.818591600000005,144.9701407,-37.8143826,144.9328127,4575,11/7/18,23:15:11,1111.38,23:33:42,18.55
ID1358199563,0.0,4,7,-37.807725399999995,144.99371730000001,-37.8618349,144.90571599999998,10710,10/1/18,0:09:05,3549.84,1:08:14,12.7
ID1735206350,0.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797,23/7/18,18:01:49,13173.36,21:41:22,20.41
ID1772906808,0.0,8,2,-37.807202000000004,145.0266373,-37.8100586,144.935956,8842,21/5/18,12:19:06,2212.02,12:55:58,11.39
ID3304891140,1.0,8,3,-37.8158343,145.04645,-37.820799900000004,144.97941469999998,7062,20/7/18,16:23:05,2103.9,16:58:08,17.18
ID1980159030,0.0,8,2,-37.807202000000004,145.0266373,-37.8143652,144.9473851,7677,28/2/18,2:39:59,1983.66,3:13:02,12.57
ID1982929268,0.0,8,1,-37.8158343,145.04645,-37.8082365,144.9421811,9815,5/7/18,0:43:43,2714.22,1:28:57,15.1
ID3367226167,1.0,7,6,-37.8618349,144.90571599999998,-37.7874421,144.9804091,11630,1/4/18,15:55:35,3678.54,16:56:53,33.23
ID1142464977,0.0,3,6,-37.822465,145.0058954,-37.773845,144.9836895,8105,21/2/18,8:50:41,1791.78,9:20:32,5.51
ID1755194402,0.0,9,6,-38.1109156,144.65417250000002,-37.7908183,144.9857929,47186,10/5/18,2:44:09,11423.22,5:54:32,23.95
ID3923335553,1.0,6,2,-37.7874421,144.9804091,-37.8253385,144.9460998,6031,13/5/18,23:15:33,1579.38,23:41:52,24.42
ID1903861831,0.0,5,8,-37.799276500000005,144.9351244,-37.8158343,145.04645,10155,6/5/18,16:37:29,2832.96,17:24:41,15.31
ID1685053961,0.0,6,1,-37.7907967,144.985865,-37.8175628,144.9673906,3989,10/7/18,12:21:33,1162.44,12:40:55,8.81
ID1285318513,0.0,6,1,-37.773845,144.9836895,-37.806863299999996,144.9589424,4894,22/6/18,18:51:21,1026.54,19:08:27,8.08
ID3678398076,1.0,8,3,-37.8158343,145.04645,-37.826330299999995,144.96650319999998,8474,5/3/18,3:50:41,2521.2,4:32:42,25.31977638062297
ID1306031905,0.0,3,2,-37.815833500000004,144.9846635,-37.8156148,144.9462743,4000,20/2/18,5:39:27,943.98,5:55:10,12.154703894801646
ID5473947594,2.0,1,4,-37.804979100000004,144.97746709999998,-37.8103201,145.0147918,4337,3/2/18,14:21:11,1112.76,14:39:43,14.30975807734198
ID1599978948,0.0,2,8,-37.8151968,144.94194240000002,-37.8158343,145.04645,9552,13/3/18,1:53:42,2728.38,2:39:10,13.26
ID3293514240,1.0,9,6,-38.1109156,144.65417250000002,-37.7874325,144.9803767,47033,28/5/18,9:35:08,11355.66,12:44:23,60.05
ID3176102676,1.0,8,2,-37.807202000000004,145.0266373,-37.8134275,144.94109740000002,8321,11/1/18,5:51:06,2073.96,6:25:39,23.303253755023388
ID5621240655,2.0,6,4,-37.7874421,144.9804091,-37.8046676,144.9919843,3042,4/2/18,8:11:07,776.1,8:24:03,83.5
ID1632492752,0.0,9,5,-38.1109156,144.65417250000002,-37.805456799999995,144.9333354,43706,5/1/18,2:24:40,10484.64,5:19:24,24.617572864866
ID1410846787,0.0,1,3,-37.812189399999994,144.9523804,-37.8224076,144.9831835,3689,18/6/18,9:13:54,874.5,9:28:28,6.42
ID1302851582,0.0,5,1,-37.8043856,144.9283024,-37.8131806,144.9477548,2232,25/7/18,3:55:04,635.1,4:05:39,10.48
ID1643179553,0.0,2,4,-37.8249449,144.9487577,-37.799551799999996,145.0036237,6672,11/4/18,23:01:10,1739.46,23:30:09,15.919350304779325
ID1899610358,0.0,6,5,-37.773845,144.9836895,-37.804762,144.9241477,8001,14/3/18,1:37:04,1753.26,2:06:17,13.276229753016677
ID3927350714,1.0,5,9,-37.812979600000006,144.9336409,-38.1109156,144.65417250000002,43754,17/2/18,11:04:30,10507.98,13:59:37,49.47312832600649
ID3383549874,1.0,2,7,-37.8232994,144.9380257,-37.8618349,144.90571599999998,9718,8/1/18,18:51:48,3258.3,19:46:06,24.65
ID3721701045,1.0,3,8,-37.8198354,144.98091619999997,-37.8158343,145.04645,6629,1/1/18,7:18:22,1987.14,7:51:29,15.13
ID1379828748,0.0,5,6,-37.813046500000006,144.9335818,-37.773845,144.9836895,8320,6/2/18,19:49:24,1829.22,20:19:53,9.35
ID3123521542,1.0,6,1,-37.7738026,144.98364660000001,-37.8019411,144.94870680000002,8254,15/7/18,5:27:54,2598.0,6:11:12,27.832456057818984
ID1364177636,0.0,8,3,-37.8158343,145.04645,-37.8174025,145.0044285,4333,19/3/18,22:18:12,1391.28,22:41:23,14.59
